1 0.001 0.001 0.001 2.37334242962107
2 0.001 0.001 0.001 -0.125069170968973
3 0.001 0.001 0.001 -0.423966101707744
4 0.001 0.001 0.001 -0.483256565141211
5 0.001 0.001 0.001 -0.496412762948102
6 0.001 0.001 0.001 -0.499275477538479
7 0.001 0.001 0.001 -0.499861980051629
8 0.001 0.001 0.001 -0.499975102354101
9 0.001 0.001 0.001 -0.499995835639938
10 0.001 0.001 0.001 -0.499999526251404
11 0.001 0.001 0.001 -0.500000168126241
12 0.001 0.001 0.001 -0.500000260165925
13 0.001 0.001 0.001 -0.500000263661081
14 0.001 0.001 0.001 -0.500000250258604
15 0.001 0.001 0.001 -0.500000236160147
